idx,cos_off,cos_on
77,0.9946971058816537,-0.22668468093509128
78,0.9925383360154016,-0.21273704414073852
79,0.9927615290785508,-0.9322597929285416
80,0.9928187051796419,0.596587035328859
81,0.9943009660063852,0.9573997678347032
82,0.9935834201128382,-0.6808436856995997
83,0.9920523087630966,-0.45497038561414477
84,0.9919636232479171,-0.03192276459597484
85,0.9889697466306521,0.45445893483115096
86,0.9847406990961626,0.002301427569410823
87,0.9801115918216562,0.6482787126487208
88,0.9814995226674902,-0.015329765942635725
89,0.9804446103380563,0.6134016474379629
90,0.9757041457359369,-0.0814528170954226
91,0.9790129460687682,-0.10456839197783074
92,0.9805317738029824,0.9072495145824291
93,0.9803257872805512,-0.20507824546856407
94,0.9820630400031325,-0.832389427713623
95,0.9876644890928568,0.8604012661138405
96,0.9884575307690873,0.5805769711520179
97,0.9903914036225544,-0.5597096302127214
98,0.9919320642665654,-0.3716413405405924
99,0.9924326738544786,0.9559082600988872
100,0.9924662353688296,-0.5083528835467235
101,0.9950219391239647,-0.6479749700092159
102,0.9932379117547461,0.5531409647962593
103,0.9946234492740276,-0.9484274413709949
104,0.9931933852543798,0.44583568347459035
105,0.9936333649316614,-0.0006355569820022684
106,0.9925075330218771,-0.9052799574366199
107,0.9921014929950119,-0.08214121965547302
108,0.9916753680371057,0.5343210102748488
109,0.9918392190062438,-0.5815643045206393
110,0.9905696483321623,0.01050727967683172
111,0.9911787072368623,0.9058152713942498
112,0.9915378039941747,0.8259783688373183
113,0.9886189567099942,-0.4989266125603887
114,0.989951322985749,-0.3702118399770248
115,0.9893965860064813,-0.7517580257868843
116,0.9885590390215435,-0.028734875295082892
117,0.9884537299715246,-0.2767441543696447
118,0.9884970547235977,0.5523794917952748
119,0.9905704302762862,0.33170559079974565
120,0.989792390463234,-0.0931815471887763
121,0.9920248172972316,-0.932210386789663
122,0.9914718924939783,-0.8966696561450632
123,0.9913027805858992,0.32027763759543626
124,0.9905644595064025,-0.15578666816468711
125,0.9924789634738285,0.3493027531248577
126,0.9929731611082786,-0.9817528832410187
127,0.9920110994392679,-0.8937092533634405
128,0.9928432399218496,-0.3890766505744831
129,0.9927929520521938,-0.5087343111289975
130,0.9952973888149407,0.5082329915105402
131,0.9945086120954059,-0.4375282293044026
132,0.9953007109303275,0.3743400179097738
133,0.9956695611859211,0.25507765602986754
134,0.9966663668214516,0.8211002624228877
135,0.995528740697846,-0.7401597831748706
136,0.9930322794458633,0.3272967627745534
137,0.9927727924323667,-0.10822333100190346
138,0.9946681534211606,0.9468149102632415
139,0.9950943888902564,-0.9719800401696072
140,0.9937078331062372,-0.04594663012657235
141,0.9926253196013091,-0.9766864892003845
142,0.9911866054693906,0.6839300473131862
143,0.991938871594764,0.2088326512275871
144,0.9940136938780131,-0.1602876496370004
145,0.9934450975919171,-0.33641913212625163
146,0.9931124202319477,-0.36074299833102663
147,0.9954653104828213,0.19219741529274495
148,0.9969591892637134,-0.7491052118898303
149,0.9968353238136983,0.5787650706155798
150,0.9960598226935942,-0.004644768753545215
151,0.9971611093228628,0.17935941106264514
152,0.9967483859810441,0.6824009732480217
153,0.9970364535902534,-0.9337327126099655
154,0.9956636565237594,0.2760205685221021
155,0.9964099539818384,0.2821232266700172
156,0.9969429033906447,0.48743245731555407
157,0.994337055730048,0.5025063262601812
158,0.9955383083357618,0.4783236755770058
159,0.9963800644123005,0.6704355374832904
160,0.997080941548697,0.37710222722354625
161,0.9963477055402281,-0.47994632896055
162,0.9960699495079871,-0.4030895990205241
163,0.9945571514696128,-0.7455910064107883
164,0.9948787545274731,0.6212347480251318
165,0.9951595431074034,-0.8868361618531284
166,0.9949643926454856,0.6961096239173736
167,0.9940478555149542,-0.46138174424145917
168,0.99578449663348,0.8800465805435607
169,0.9964795260659256,-0.6180476269747915
170,0.995643584067971,-0.43937038533132067
171,0.9952414662268944,-0.9774428953954618
172,0.9951416112903999,-0.1580728449368397
173,0.9940698076052574,-0.7996600625715486
174,0.9924383088045398,-0.6825849450212556
175,0.9947504056142598,0.649973163278681
176,0.9945947937949889,0.56108518484912
177,0.9969059038152317,-0.2760121581258653
178,0.9983123898909654,0.06664639074138537
179,0.996710804773696,-0.9084594678286506
180,0.9974534018386252,-0.21338576947751947
181,0.9978017436473852,-0.9930892909550645
182,0.9978940210455526,-0.9409543581839872
183,0.9970848164737734,-0.9283973743890402
184,0.9961781949054767,0.7294499455957166
185,0.9964398238756169,0.9762318441499762
186,0.9957896146743501,-0.8560944074193373
187,0.996097214471351,-0.4486122647743855
188,0.9950146636462306,0.6728500968451487
189,0.9943032129669211,-0.5752846054808238
190,0.9919251016285243,0.12506192664153848
191,0.9942638044277992,-0.9235149470304668
192,0.9939287945554096,0.4675350203132337
193,0.9950764428962517,0.8275997893238505
194,0.996282845499967,0.667718417663335
195,0.9968067868923393,0.42581200841101025
196,0.9945031084507093,-0.5180356675973294
197,0.9934227005892736,0.6318123849505084
198,0.9930494347817664,0.7565920585832984
199,0.9933924206191409,-0.7222210497963418
200,0.9944288098390598,0.9142613345814485
