# E0 = -1.6627687752661233  Jabs = 0.13856406460551016
idx,t_over_J,energy,acceptance
176,0.3,-1.334560270712112,0.625
177,0.3,-1.2647334179099161,0.4166666666666667
178,0.3,-1.4054668461293427,0.375
179,0.3,-1.399934741019717,0.5416666666666666
180,0.3,-1.3678315604654196,0.4583333333333333
181,0.3,-1.466897148159524,0.375
182,0.3,-1.3950231960901598,0.4583333333333333
183,0.3,-1.3695672647557906,0.6666666666666666
184,0.3,-1.294137727491142,0.6666666666666666
185,0.3,-1.318395672418961,0.5833333333333334
186,0.3,-1.244503918892133,0.5833333333333334
187,0.3,-1.464214275776734,0.5833333333333334
188,0.3,-1.455459745815261,0.4583333333333333
189,0.3,-1.4563769706755694,0.4166666666666667
190,0.3,-1.483973451618409,0.3333333333333333
191,0.3,-1.3198506787027349,0.5
192,0.3,-1.2806375566732775,0.5833333333333334
193,0.3,-1.3561929574643221,0.4166666666666667
194,0.3,-1.5306781477959466,0.3333333333333333
195,0.3,-1.5410653277752717,0.5
196,0.3,-1.5216654602932216,0.375
197,0.3,-1.4935774513793176,0.5833333333333334
198,0.3,-1.5001669089165877,0.5833333333333334
199,0.3,-1.522242893138305,0.4166666666666667
200,0.3,-1.4439340812357404,0.5416666666666666
